name,method,slope,score,strain,inconclusive
PF05CP3,fds,137.17689634580162,0.2799138442134972,0.061900000000000004,FALSE
PF05LT1,fds,126.85300773657272,0.39018387934627363,0.0614,FALSE
PF05LT2,fds,166.95426948566168,0.4373238234156822,0.0533,FALSE
PF05LT3,fds,136.92737785886365,0.3317828248070145,0.07880000000000001,FALSE
PF05MT1,inflection,127.53298766664605,0.4197191863754671,0.0631,FALSE
PF05MT2,fds,155.1497167891003,0.4329064673736422,0.0499,FALSE
PF05UT1,fds,222.6749812960614,0.3358618387482321,0.07010000000000001,FALSE
PF05UT2,inflection,72.21330860136604,0.4532141333294704,0.0711,FALSE
PF05UT3,max,93.85663453983429,0.23721789455456738,0.1226,FALSE
PF06CP1,max,85.08946751728986,0.3154577020901419,0.09000000000000001,FALSE
PF06CP2,fds,106.85767619367152,0.32635721420987907,0.061500000000000006,FALSE
PF06CP3,fds,160.98551376093866,0.35269913686391224,0.0427,FALSE
PF06CP4,fds,94.57155822283204,0.19413890206285617,0.0603,FALSE
PF06LT1,fds,170.35064943522505,0.5106779642752897,0.0786,FALSE
PF06LT2,fds,155.1523632074735,0.46449995828528134,0.035500000000000004,FALSE
PF06LT3,fds,146.68206481817538,0.5159927111611452,0.0487,FALSE
PF06MT1,inflection,163.42062012995925,0.5427918858501034,0.0391,FALSE
PF06MT2,max,426.6315499897342,0.7185672128464068,0.0711,TRUE
PF06MT3,fds,124.85853494975335,0.4217324451543173,0.051500000000000004,FALSE
PF06MT4,inflection,136.04532686514648,0.495198764679734,0.0711,FALSE
PF06UT1,max,121.21426716495914,0.47740268380527706,0.138,FALSE
PF06UT2,fds,112.59012007598102,0.43573349370645387,0.058800000000000005,FALSE
PF06UT3,fds,122.83201537284195,0.4004259342834773,0.0877,FALSE
PF07CP1,fds,55.52493947084365,0.22575011175559426,0.0634,FALSE
PF07CP2,max,80.7580616856167,0.42782758099364515,0.08900000000000001,FALSE
PF07CP3,fds,51.09823025805633,0.26730368631837836,0.0729,FALSE
PF07LT1,fds,22.162995038033667,0.4716081430044418,0.0171,FALSE
PF07LT2,inflection,76.68756346497189,0.5052682490049476,0.041100000000000005,FALSE
PF07LT3,inflection,64.9669557913587,0.7503389127673636,0.037000000000000005,TRUE
PF07MT1,fds,103.04131155743748,0.4502275584160167,0.046400000000000004,FALSE
PF07MT2,inflection,54.63493844823841,0.27761015351160934,0.0514,FALSE
PF07MT3,fds,53.15934819594436,0.24161760659873543,0.058100000000000006,FALSE
PF07UT1,fds,142.51421126874212,0.503998841952053,0.048100000000000004,FALSE
PF07UT2,inflection,119.4446940071331,0.4624360027693578,0.0477,FALSE
PF07UT3,fds,98.02444109466205,0.29072915257673954,0.058100000000000006,FALSE
PF07UT4,fds,53.58894366282574,0.1936807979243235,0.058,FALSE
PF08CP1,fds,111.99121188972806,0.2024839911429135,0.020900000000000002,FALSE
PF08CP2,fds,98.7115238979451,0.32303702622593333,0.0263,FALSE
PF08CP3,fds,109.14710789195412,0.3004396916214729,0.0603,FALSE
PF08LT1,inflection,202.8980369708086,0.5034070397909475,0.042300000000000004,FALSE
PF08LT2,fds,3.6948058623915427,0.686209282592937,0.0114,TRUE
PF08LT3,inflection,83.20499445958852,0.42346422017764135,0.0159,FALSE
PF08MT1,fds,97.41088835962252,0.2052130519943754,0.0322,FALSE
PF08MT2,fds,167.09989616058297,0.5644889125386301,0.0477,FALSE
PF08MT3,fds,197.02940652792185,0.5033394865655497,0.0347,FALSE
PF08UT1,fds,175.38020747989452,0.45955234238415654,0.0748,FALSE
PF08UT2,inflection,150.1227692672078,0.46075506808303895,0.0495,FALSE
PF08UT3,inflection,114.00938809655719,0.3914762744988852,0.0843,FALSE
PF08UT4,inflection,195.87815842334072,0.4661776896440754,0.09340000000000001,FALSE
PF09CP1,fds,151.42404083218204,0.3930034142365003,0.028300000000000002,FALSE
PF09CP2,fds,122.02644347812597,0.4221783546777678,0.0504,FALSE
PF09CP3,fds,70.14366235328492,0.2313750464156885,0.0599,FALSE
PF09LT1,fds,55.41434100998139,0.2573981613674619,0.050800000000000005,FALSE
PF09LT2,max,26.440812557511094,0.15708872531749193,0.1782,FALSE
PF09LT3,fds,75.81894518161897,0.20627962903741714,0.054900000000000004,FALSE
PF09MT1,fds,45.30867858698683,0.4158964240017055,0.0439,FALSE
PF09MT2,inflection,100.60662074812898,0.4498773851133733,0.023200000000000002,FALSE
PF09MT3,fds,66.93067441961263,0.34726404194023053,0.054400000000000004,FALSE
PF09UT1,fds,143.75816040923974,0.4076616306232134,0.0545,FALSE
PF09UT2,inflection,176.1277731811475,0.5064037160637263,0.0545,FALSE
PF09UT3,inflection,137.47973121351922,0.226231300008705,0.075,FALSE
PF10CP1,inflection,43.433037654047865,0.3774578949380264,0.037000000000000005,FALSE
PF10CP2,inflection,83.78502123256831,0.4015573671343471,0.040400000000000005,FALSE
PF10CP3,fds,105.49531275415771,0.36211275827294603,0.061000000000000006,FALSE
PF10LT1,fds,16.937648374567935,0.5113617170336656,0.0245,TRUE
PF10LT2,fds,91.35175757859082,0.3413645921441718,0.097,FALSE
PF10LT3,fds,67.95726612703739,0.30738697781452085,0.0553,FALSE
PF10MT1,max,41.780412115517464,0.3932345035259997,0.196,FALSE
PF10MT2,fds,37.282428070457854,0.297745318349153,0.0477,FALSE
PF10MT3,inflection,78.8898629807084,0.5041251104499569,0.042300000000000004,FALSE
PF10UT1,inflection,105.02102935223581,0.21668062526116982,0.1724,FALSE
PF10UT2,max,138.49674049046743,0.4884758207832489,0.0601,FALSE
PF10UT3,max,118.02155289492404,0.4696230080813776,0.0693,FALSE
PF11CP1,fds,66.61847341742467,0.2286843606887028,0.0205,FALSE
PF11CP2,fds,103.61896928824468,0.3101162197036834,0.040100000000000004,FALSE
PF11CP3,fds,66.61623363727297,0.24606289625508584,0.054,FALSE
PF11CP4,max,296.45055398724196,0.6463192086318096,0.0753,FALSE
PF11LT1,fds,176.9118847329661,0.5681535610593771,0.0441,FALSE
PF11LT2,max,347.80153596998014,0.7360121919113326,0.06620000000000001,TRUE
