Axial Compression Test-Jun-21-2024-09-38-58-AM.log,,,,,
,,,,,
System Information:,,,,,
IntelliMESUR Version: 2.2.1,,,,,
Test Frame Model: F505,,,,,
Test Frame Serial Number: 4418651,,,,,
Test Frame Capacity: 500 lbF / 2.2 kN,,,,,
Test Frame Firmware Version: 1.00.14,,,,,
Force Sensor Model: FS05-100,,,,,
Force Sensor Capacity: 500 N,,,,,
Force Sensor Resolution: 0.2 N,,,,,
Force Sensor Serial Number: 4425350,,,,,
"Calibration Date: Apr 29, 2024",,,,,
"Calibration Due Date: Apr 29, 2025",,,,,
,,,,,
Reading,Load [N],Distance [mm],Time [s],Stress [MPa],Strain [%]
175,0.2,-0.89,0.696,0.1,56.5
176,0.2,-0.9,0.7,0.1,57
177,-0.2,-0.91,0.704,-0.1,57.5
178,0,-0.91,0.708,0,57.5
179,-0.2,-0.92,0.712,-0.1,58
180,0,-0.93,0.716,0,59
181,0,-0.94,0.72,0,59.5
182,0.2,-0.94,0.724,0.1,59.5
183,0,-0.95,0.728,0,60
184,0,-0.96,0.732,0,61
185,-0.2,-0.96,0.736,-0.1,61
186,-0.2,-0.97,0.74,-0.1,61.5
187,0,-0.98,0.744,0,62
188,-0.2,-0.98,0.748,-0.1,62
189,0,-0.99,0.752,0,62.5
190,0.2,-1,0.756,0.1,63.5
191,0.2,-1.01,0.76,0.1,64
192,0.2,-1.01,0.764,0.1,64
193,0,-1.02,0.768,0,64.5
194,0,-1.03,0.772,0,65
195,0,-1.03,0.776,0,65
196,0.4,-1.04,0.78,0.2,66
197,0,-1.05,0.784,0,66.5
198,0,-1.05,0.788,0,66.5
199,0,-1.06,0.792,0,67
200,0,-1.07,0.796,0,67.5
201,0,-1.08,0.8,0,68.5
202,0,-1.08,0.804,0,68.5
203,-0.2,-1.09,0.808,-0.1,69
204,-0.2,-1.09,0.812,-0.1,69
205,-0.2,-1.1,0.816,-0.1,69.5
206,0,-1.11,0.82,0,70.5
207,0.2,-1.12,0.824,0.1,71
208,0,-1.12,0.828,0,71
209,-0.2,-1.13,0.832,-0.1,71.5
210,0,-1.14,0.836,0,72
211,-0.2,-1.15,0.84,-0.1,73
212,0,-1.15,0.844,0,73
213,0.2,-1.16,0.848,0.1,73.5
214,0,-1.16,0.852,0,73.5
215,0.2,-1.17,0.856,0.1,74
216,0,-1.18,0.86,0,74.5
217,0,-1.19,0.864,0,75.5
218,0,-1.19,0.868,0,75.5
219,0,-1.2,0.872,0,76
220,0,-1.21,0.876,0,76.5
221,-0.2,-1.21,0.88,-0.1,76.5
222,0.2,-1.22,0.884,0.1,77
223,0,-1.23,0.888,0,78
224,0.2,-1.24,0.892,0.1,78.5
225,0,-1.24,0.896,0,78.5
226,0,-1.25,0.9,0,79
227,0.2,-1.26,0.904,0.1,79.5
228,0,-1.26,0.908,0,79.5
229,-0.2,-1.27,0.912,-0.1,80.5
230,0,-1.28,0.916,0,81
231,-0.2,-1.28,0.92,-0.1,81
232,-0.2,-1.29,0.924,-0.1,81.5
233,0,-1.3,0.928,0,82.5
234,0,-1.31,0.932,0,83
235,0,-1.31,0.936,0,83
236,-0.2,-1.32,0.94,-0.1,83.5
237,0,-1.33,0.944,0,84
238,0,-1.33,0.948,0,84
239,0,-1.34,0.952,0,85
240,0.2,-1.35,0.956,0.1,85.5
241,0,-1.35,0.96,0,85.5
242,0,-1.36,0.964,0,86
243,0,-1.37,0.968,0,86.5
244,-0.2,-1.38,0.972,-0.1,87.5
245,-0.2,-1.38,0.976,-0.1,87.5
246,0,-1.39,0.98,0,88
247,0,-1.41,0.984,0,89
248,-0.2,-1.41,0.988,-0.1,89
249,0,-1.42,0.992,0,90
250,0.2,-1.43,0.996,0.1,90.5
251,-0.2,-1.43,1,-0.1,90.5
252,0.2,-1.44,1.004,0.1,91
253,0,-1.45,1.008,0,92
254,-0.2,-1.46,1.012,-0.1,92.5
255,0,-1.46,1.016,0,92.5
256,0,-1.47,1.02,0,93
257,0.2,-1.48,1.024,0.1,93.5
258,0,-1.48,1.028,0,93.5
259,0,-1.49,1.032,0,94.5
260,0,-1.5,1.036,0,95
261,0.2,-1.5,1.04,0.1,95
262,0,-1.51,1.044,0,95.5
263,0.2,-1.52,1.048,0.1,96
264,0,-1.52,1.052,0,96
265,-0.4,-1.53,1.056,-0.2,97
266,0,-1.54,1.06,0,97.5
267,0,-1.55,1.064,0,98
268,0,-1.55,1.068,0,98
269,0,-1.56,1.072,0,98.5
270,-0.2,-1.57,1.076,-0.1,99.5
271,-0.2,-1.57,1.08,-0.1,99.5
272,-0.2,-1.58,1.084,-0.1,100
273,0,-1.59,1.088,0,100.5
