name,method,calculation,slope,score,strain,rsquared,inconclusive
pf03LT1,inflection,minimum score,93.0353235908285,0.3823605598876385,0.0262,0.8021163226415233,FALSE
pf03LT2,inflection,minimum score,59.10818892902562,0.42061969743929434,0.038200000000000005,0.8021163226415233,FALSE
pf03LT3,fds,median strain,145.48882613663966,0.5308564152980549,0.0475,0.8021163226415233,FALSE
pf03MT1,inflection,minimum score,51.636451451341706,0.4922572092736061,0.0264,0.8021163226415233,FALSE
pf03MT2,fds,minimum score,143.00684713554313,0.5658320540346923,0.053500000000000006,0.8021163226415233,FALSE
pf03MT3,fds,minimum score,78.6314409843605,0.25252922610398215,0.020300000000000002,0.8021163226415233,FALSE
pf03UT1,max,median strain,127.91219751307074,0.4422484939840808,0.09480000000000001,0.8021163226415233,FALSE
pf03UT2,max,median strain,117.19248679249547,0.4399435710143596,0.0942,0.8021163226415233,FALSE
pf03UT3,fds,minimum score,178.38645051582387,0.15565267362121757,0.0882,0.8021163226415233,FALSE
pf04CP1,fds,minimum score,168.79463765899635,0.3504268630047048,0.0344,0.8021163226415233,FALSE
pf04CP2,fds,minimum score,177.416261379494,0.4245198720333253,0.0545,0.8021163226415233,FALSE
pf04CP3,inflection,minimum score,110.42237789989615,0.336601666374935,0.07490000000000001,0.8021163226415233,FALSE
pf04LT1,fds,minimum score,98.2799501239414,0.5478352087875814,0.0357,0.8021163226415233,FALSE
pf04MT1,inflection,minimum score,155.22829138236278,0.5124323186300173,0.0482,0.8021163226415233,FALSE
pf04MT2,fds,minimum score,135.2870801631377,0.5100245274627845,0.0324,0.8021163226415233,FALSE
pf04UT1,inflection,minimum score,96.43717744607726,0.21314270055817428,0.1077,0.8021163226415233,FALSE
pf04UT2,max,max,112.12040806838216,0.2882594072592991,0.157,0.8021163226415233,FALSE
pf04UT3,max,max,131.24840434996702,0.3198441292030051,0.16190000000000002,0.8021163226415233,FALSE
pf05CP1,max,median strain,110.11443791853736,0.26877471365677824,0.10700000000000001,0.8021163226415233,FALSE
pf05CP2,fds,minimum score,147.61629972280332,0.3598698222843903,0.0492,0.8021163226415233,FALSE
pf05CP3,fds,minimum score,137.17689634580162,0.2799138442134972,0.061900000000000004,0.8021163226415233,FALSE
pf05LT1,fds,minimum score,126.85300773657272,0.39018387934627363,0.0614,0.8021163226415233,FALSE
pf05LT2,fds,minimum score,166.95426948566168,0.4373238234156822,0.0533,0.8021163226415233,FALSE
pf05LT3,fds,minimum score,136.92737785886365,0.3317828248070145,0.07880000000000001,0.8021163226415233,FALSE
