names,max.slope,inflection.slope,fds.slope,max.strain,inflection.strain,fds.strain,max.score,inflection.score,fds.score,rsquared
pf07UT2,119.4446940071331,119.4446940071331,110.43587657336667,0.0477,0.0477,0.0563,0.4624360027693578,0.4624360027693578,0.48214843651325595,0.3724808849252945
pf07UT3,114.49929200354013,114.49926267234295,98.02444109466205,0.0517,0.0516,0.058100000000000006,0.3410950738595848,0.34117111620751706,0.29072915257673954,0.7019221984204201
pf07UT4,92.67506752654847,50.695997594184306,53.58894366282574,0.1625,0.0247,0.058,0.42114595435935226,0.4923993544284476,0.1936807979243235,0.389168418754355
pf08CP1,107.96813371852949,107.96813371852949,111.99121188972806,0.022500000000000003,0.022500000000000003,0.020900000000000002,0.25230607176923997,0.25230607176923997,0.2024839911429135,0.8700853104032866
pf08CP2,106.45658462492982,106.45658462492982,98.7115238979451,0.0217,0.0217,0.0263,0.3512505312044943,0.3512505312044943,0.32303702622593333,0.9282834952199657
pf08CP3,116.06063820385579,116.06063820385579,109.14710789195412,0.049300000000000004,0.049300000000000004,0.0603,0.38551636064526007,0.38551636064526007,0.3004396916214729,0.7992580751339052
pf08LT1,202.8980369708086,202.8980369708086,211.6418629646027,0.042300000000000004,0.042300000000000004,0.0378,0.5034070397909475,0.5034070397909475,0.5147600125488058,0.919323498516103
pf08LT2,8.613573620646628,2.2396023668653324,3.6948058623915427,0,0.0632,0.0114,0.6931263719507286,0.31957801349888587,0.686209282592937,0.05210436594694238
pf08LT3,83.20638015368506,83.20499445958852,81.39796691242283,0.016,0.0159,0.0145,0.4237930916581612,0.42346422017764135,0.4273594608258587,0.6351512934355299
pf08MT1,118.91528240398354,109.6503055715263,97.41088835962252,0.0585,0.020800000000000003,0.0322,0.3438411186669067,0.24787061647187403,0.2052130519943754,0.831982120787041
pf08MT2,161.35899653100697,161.3585399748114,167.09989616058297,0.050800000000000005,0.0507,0.0477,0.5665173892583865,0.5663972967018022,0.5644889125386301,0.9319535066926361
pf08MT3,225.9309591440204,209.1329184104172,197.02940652792185,0.108,0.031900000000000005,0.0347,1.3542916797285014,0.5289054023525745,0.5033394865655497,0.9093941380890698
