names,yield.stress,yield.strain
pf06LT3,9.185616388273809,0.1032
pf06MT1,4.427531687438703,0.039400000000000004
pf06MT2,NA,NA
pf06MT3,6.5397761023419845,0.07010000000000001
pf06MT4,3.5322019037604755,0.0723
pf06UT1,12.12431425691058,0.2975
pf06UT2,3.8637587355830654,0.0597
pf06UT3,5.3211892951233235,0.0893
pf07CP1,1.177682539031379,0.018600000000000002
pf07CP2,7.824383058499341,0.1731
pf07CP3,4.233076432397287,0.0839
pf07LT1,0.7900652207825787,0.0198
pf07LT2,3.1702888050062534,0.045000000000000005
pf07LT3,3.499915165402821,0.0763
pf07MT1,5.460316498350035,0.0567
pf07MT2,2.780659785309479,0.0563
pf07MT3,4.984935629233419,0.092
pf07UT1,6.096202847601944,0.053500000000000006
pf07UT2,4.655084698856443,0.0511
pf07UT3,6.433745387336741,0.0654
pf07UT4,13.198530936914668,0.29250000000000004
pf08CP1,6.639028579936055,0.06520000000000001
pf08CP2,2.42881514707397,0.0246
pf08CP3,4.26459976262128,0.055
pf08LT1,6.6776940488154235,0.0439
pf08LT2,3.760099817248106,1.0034
pf08LT3,3.5414578113782977,0.0567
pf08MT1,8.203729409549537,0.0826
pf08MT2,9.483244045480209,0.1091
pf08MT3,6.216860490288602,0.0438
pf08UT1,10.014308825740727,0.0999
pf08UT2,7.755365294948083,0.07060000000000001
pf08UT3,5.63765630472405,0.0857
pf08UT4,9.53917239319841,0.0941
pf09CP1,4.176373407352921,0.0302
pf09CP2,9.00042908301765,0.1198
pf09CP3,7.67837777104554,0.15130000000000002
pf09LT1,2.0906910482061423,0.0407
pf09LT2,0.6898901517082948,0.0269
pf09LT3,2.8412066930154984,0.0482
pf09MT1,3.0181739988246328,0.1039
pf09MT2,2.4901513052670388,0.0286
pf09MT3,2.7229642551004316,0.055900000000000005
pf09UT1,5.871566157496616,0.0584
pf09UT2,4.754650012776159,0.0557
pf09UT3,16.16080780450521,0.1898
pf10CP1,1.7034997263655696,0.040100000000000004
pf10CP2,5.727903067858717,0.1013
pf10CP3,4.356560178995865,0.0596
pf10LT1,5.117467077407538,0.2892
pf10LT2,8.822060965694654,0.192
pf10LT3,2.6605525166579325,0.0521
pf10MT1,2.207089391219703,0.4192
pf10MT2,1.4630774519155099,0.0369
pf10MT3,3.522838333578605,0.062
pf10UT1,9.118805831167183,0.1845
pf10UT2,9.30470108397669,0.1254
pf10UT3,3.922912036393353,0.0709
pf11CP1,3.954758397055459,0.0492
pf11CP2,10.674927487297275,0.13340000000000002
pf11CP3,2.7111623542163006,0.0533
pf11CP4,14.571789630583684,0.21610000000000001
pf11LT1,6.752056460394792,0.052700000000000004
pf11LT2,7.8065784245555205,0.19190000000000002
pf11LT3,4.802409122063737,0.0352
pf11MT1,2.982219199283458,0.0325
pf11MT2,0.09218208558241803,0.0172
pf11MT3,8.939810521393659,0.11120000000000001
pf11UT1,9.995072307929387,0.1653
pf11UT2,13.571202320397326,0.21580000000000002
pf11UT3,17.084594688864648,0.1995
pf11UT4,4.028785513240161,0.1163
pf11UT5,14.216407445481234,0.24880000000000002
pf12CP1,9.960736759472407,0.3129
pf12CP2,17.99644572401227,0.17980000000000002
pf12CP3,NA,NA
pf12LT1,6.628310478672878,0.046900000000000004
pf12LT2,9.482108957101206,0.0726
pf12LT3,6.160866723031968,0.08370000000000001
pf12MT1,4.209550740687905,0.044000000000000004
pf12MT2,3.616669848837904,0.0373
pf12MT3,3.850850977333046,0.0476
pf12UT1,6.342464071580533,0.0629
pf12UT2,15.227520016220446,0.2308
pf12UT3,10.985100747952119,0.1279
pf12UT4,13.506784056756857,0.1019
pf13CP1,3.2433785298936053,0.043500000000000004
pf13CP2,4.257162326040495,0.0974
pf13CP3,1.193752313883235,0.0199
pf13LT1,1.6201566023604363,0.0264
pf13LT2,0.6144223598391921,0.014400000000000001
pf13LT3,4.779675311560487,0.2175
pf13MT1,1.8397518950988365,0.7896000000000001
pf13MT2,3.0018668441378775,0.0584
pf13MT3,1.9502847094121416,0.0151
pf13UT1,17.993138932376063,0.1865
pf13UT2,2.593564274093275,0.0485
pf13UT3,7.400254384525414,0.0707
pf13UT4,15.180839643427351,0.2917
pf13UT5,8.176418252950361,0.18860000000000002
pf14CP1,7.2872881300834,0.06570000000000001
pf14CP2,9.50342469023245,0.0714
pf14CP3,9.959575961081564,0.0669
pf14LT1,9.120188307200483,0.08370000000000001
pf14LT2,14.203412684288411,0.2612
pf14LT3,7.008721215418477,0.0553
pf14MT1,6.156178898801202,0.068
pf14MT2,5.344982539864953,0.052700000000000004
pf14MT3,8.493500301420491,0.1703
pf14UT2,7.749192726806516,0.0792
pf14UT3,7.33510847716067,0.08610000000000001
pf14UT4,6.057514287715749,0.056400000000000006
pf15CP1,1.2639546708083733,0.033800000000000004
pf15CP3,8.705899764467098,0.0478
pf15CP4,17.017222627038745,0.15810000000000002
pf15LT1,11.573655829957588,0.1253
pf15LT2,5.961667847955764,0.047400000000000005
pf15LT3,4.3749812562967065,0.0502
pf15MT1,11.644025043492285,0.2806
pf15MT2,3.2822016417655018,0.0494
pf15MT3,5.627874201780869,0.0898
pf15UT1,9.213303983408535,0.096
pf15UT2,12.344722755497795,0.0983
pf15UT3,5.076191093532371,0.10210000000000001
pf15UT4,11.76335055970383,0.1706
pf16CP1,7.8671102184080635,0.07780000000000001
pf16CP2,NA,NA
pf16CP3,NA,NA
pf16LT1,3.485648747344599,0.0335
pf16LT2,7.488142162569905,0.22440000000000002
pf16LT3,11.12210662416874,0.062200000000000005
pf16MT1,10.484144468203073,0.1668
pf16MT2,11.45940770419119,0.256
pf16MT3,0.686318200970647,0.024
pf16UT1,1.2925110530377484,0.0704
pf16UT2,NA,NA
pf16UT3,13.27113795186963,0.16640000000000002
pf17CP1,12.22650800520037,0.1356
pf17CP2,3.334809291892602,0.030000000000000002
pf17CP3,13.615927483828068,0.0632
pf17LT1,2.7573754318773682,0.04
pf17LT2,1.6522077889137834,0.023200000000000002
pf17LT3,5.377969476198884,0.0519
pf17MT1,5.86322980845237,0.10500000000000001
pf17MT2,2.7711562755425163,0.0616
pf17MT3,10.934212038992289,0.17070000000000002
pf17UT1,6.843482339243885,0.1375
pf17UT2,NA,NA
pf17UT3,7.079081954205755,0.0931
pf18CP1,16.06097449454691,0.1399
pf18CP2,13.719472713993088,0.16920000000000002
pf18CP3,7.40445423975326,0.0809
pf18LT1,9.040936020998991,0.0998
pf18LT2,5.115634043147864,0.0562
pf18LT3,0.6409067022546815,0.018000000000000002
pf18MT1,13.668216506247216,0.129
pf18MT2,7.8005634929139385,0.0913
pf18MT3,8.854716861155229,0.042
pf18UT1,7.342336462792199,0.1269
pf18UT2,17.27308173867671,0.1988
pf18UT3,22.82081952596849,0.1693
pf19CP1,2.802623514547303,0.0388
pf19CP2,9.477095258164827,0.11850000000000001
pf19CP3,10.26558974233225,0.0964
pf19LT1,2.839993382762877,0.030100000000000002
pf19LT2,4.339598055797408,0.0391
pf19LT3,3.7037971785967465,0.0562
pf19MT1,8.701999367570977,0.1438
pf19MT2,5.685652086334746,0.048100000000000004
pf19MT3,NA,NA
pf19UT1,5.295288263186303,0.062400000000000004
pf19UT2,NA,NA
pf19UT3,9.039406373582903,0.07400000000000001
pf20CP1,9.093096050977987,0.0882
pf20CP2,19.9509888039219,0.15760000000000002
pf20CP3,14.750546542513908,0.19360000000000002
pf20CP4,21.604653790975437,0.15710000000000002
pf20LT1,4.496709923836355,0.07400000000000001
pf20LT2,5.014914858007227,0.063
pf20MT1,10.742102166412907,0.1363
pf20MT2,4.21203122221681,0.0635
pf20MT3,11.8945010371445,0.1479
pf20UT1,19.55506509239594,0.2859
pf20UT2,14.480991031457208,0.1131
pf20UT3,7.871746616762314,0.0407
