name,max.slope,max.strain,max.score,inflection.slope,inflection.strain,inflection.score,fds.slope,fds.strain,fds.score
PF03CP1,172.51099828873896,0.037000000000000005,0.4130381571865195,172.51099828873896,0.037000000000000005,0.4130381571865195,155.00751443891937,0.0373,0.3765734903294393
PF03CP2,180.9417356479487,0.0487,0.34330821252970795,180.9417356479487,0.0487,0.34330821252970795,158.6768227844863,0.0533,0.31948994386681745
PF03CP3,144.1340474855645,0.037700000000000004,0.2603917231601516,144.1340474855645,0.037700000000000004,0.2603917231601516,137.29503009266173,0.041100000000000005,0.26795610159800476
PF03CP4,161.53052281477952,0.0395,0.2272729053323113,161.53052281477952,0.0395,0.2272729053323113,145.5389096106874,0.034300000000000004,0.17480505565390275
PF03LT1,93.0353235908285,0.0262,0.3823605598876385,93.0353235908285,0.0262,0.3823605598876385,88.66423839717356,0.0337,0.38483464191319067
PF03LT2,207.9175760982892,0.18480000000000002,0.8443118769575789,59.10818892902562,0.038200000000000005,0.42061969743929434,56.85968372598478,0.038400000000000004,0.4267194455135592
PF03LT3,213.13977659518193,0.16820000000000002,0.7101615367104418,162.67434905060438,0.043500000000000004,0.5491614058570724,145.48882613663966,0.0475,0.5308564152980549
PF03MT1,51.636451451341706,0.0264,0.4922572092736061,51.636451451341706,0.0264,0.4922572092736061,44.0639153214222,0.031,0.6095012169165578
PF03MT2,146.45109071886782,0.055200000000000006,0.5683253205267979,146.45109071886782,0.055200000000000006,0.5683253205267979,143.00684713554313,0.053500000000000006,0.5658320540346923
PF03MT3,90.50041262714313,0.0189,0.35624362685910504,90.49926258147404,0.0188,0.35623809763720454,78.6314409843605,0.020300000000000002,0.25252922610398215
PF03UT1,127.91219751307074,0.09480000000000001,0.4422484939840808,38.3131264271575,0.0152,0.24634068015500907,108.85170414409998,0.1077,0.2804729371006949
PF03UT2,117.19248679249547,0.0942,0.4399435710143596,35.33636729856449,0.0149,0.24624107436873544,98.79070261685165,0.1091,0.26449478426734657
PF03UT3,196.30680663729035,0.0878,0.19876287694162745,196.30680663729035,0.0878,0.19876287694162745,178.38645051582387,0.0882,0.15565267362121757
PF04CP1,172.02533340620502,0.0391,0.3643117215329027,172.0252446545472,0.039,0.3642056638256896,168.79463765899635,0.0344,0.3504268630047048
PF04CP2,188.04994523329486,0.059300000000000005,0.44841107325532137,188.0498004683673,0.0592,0.4484819033853088,177.416261379494,0.0545,0.4245198720333253
PF04CP3,110.42237789989615,0.07490000000000001,0.336601666374935,110.42237789989615,0.07490000000000001,0.336601666374935,106.7861640756359,0.077,0.3524718282441004
PF04LT1,104.94804006809647,0.037700000000000004,0.5662070143723557,104.94804006809647,0.037700000000000004,0.5662070143723557,98.2799501239414,0.0357,0.5478352087875814
PF04MT1,257.800490021267,0.19870000000000002,0.6773348089771167,155.22829138236278,0.0482,0.5124323186300173,154.849179848045,0.0463,0.49111784048832663
PF04MT2,136.64938953709114,0.0369,0.5259480123011895,136.64938953709114,0.0369,0.5259480123011895,135.2870801631377,0.0324,0.5100245274627845
PF04UT1,96.43719591697908,0.10780000000000001,0.2138705348713702,96.43717744607726,0.1077,0.21314270055817428,96.719127627025685,0.11510000000000001,0.2851954301500557
PF04UT2,112.12040806838216,0.157,0.2882594072592991,38.90803936111742,0.0281,0.33400971720875566,36.447118015732585,0.0297,0.30937882737901506
PF04UT3,131.24840434996702,0.16190000000000002,0.3198441292030051,14.24774361862236,0.0268,0.3051050461280266,14.03543068299981,0.028200000000000003,0.3665079551488489
PF05CP1,110.11443791853736,0.10700000000000001,0.26877471365677824,40.363021991705914,0.024300000000000002,0.7338000455503061,101.90371149460489,0.1169,0.35242227065600207
PF05CP2,158.94459383578695,0.044700000000000004,0.38600615383786757,158.94459383578695,0.044700000000000004,0.38600615383786757,147.61629972280332,0.0492,0.3598698222843903
PF05CP3,143.90751355913764,0.0627,0.3106585349742505,143.90723914064543,0.0626,0.31086668245831534,137.17689634580162,0.061900000000000004,0.2799138442134972
