Axial Compression Test-Jun-21-2024-03-08-46-PM.log,,,,,
,,,,,
System Information:,,,,,
IntelliMESUR Version: 2.2.1,,,,,
Test Frame Model: F505,,,,,
Test Frame Serial Number: 4418651,,,,,
Test Frame Capacity: 500 lbF / 2.2 kN,,,,,
Test Frame Firmware Version: 1.00.14,,,,,
Force Sensor Model: FS05-100,,,,,
Force Sensor Capacity: 500 N,,,,,
Force Sensor Resolution: 0.2 N,,,,,
Force Sensor Serial Number: 4425350,,,,,
"Calibration Date: Apr 29, 2024",,,,,
"Calibration Due Date: Apr 29, 2025",,,,,
,,,,,
Reading,Load [N],Distance [mm],Time [s],Stress [MPa],Strain [%]
519,0,-3.3,2.072,0,178.5
520,0,-3.3,2.076,0,178.5
521,0,-3.31,2.08,0,179
522,0,-3.32,2.084,0,179.5
523,0,-3.33,2.088,0,180
524,0,-3.33,2.092,0,180
525,0.2,-3.34,2.096,0.1,180.5
526,0,-3.35,2.1,0,181
527,0,-3.35,2.104,0,181
528,0,-3.36,2.108,0,181.5
529,0,-3.37,2.112,0,182
530,0,-3.37,2.116,0,182
531,0,-3.38,2.12,0,182.5
532,-0.2,-3.39,2.124,-0.1,183
533,0,-3.4,2.128,0,184
534,0,-3.4,2.132,0,184
535,0,-3.41,2.136,0,184.5
536,0.2,-3.42,2.14,0.1,185
537,0,-3.42,2.144,0,185
538,0.2,-3.43,2.148,0.1,185.5
539,0.2,-3.44,2.152,0.1,186
540,0.2,-3.45,2.156,0.1,186.5
541,0,-3.45,2.16,0,186.5
542,-0.2,-3.46,2.164,-0.1,187
543,0,-3.47,2.168,0,187.5
544,0.2,-3.47,2.172,0.1,187.5
545,0,-3.48,2.176,0,188
546,-0.2,-3.49,2.18,-0.1,188.5
547,0,-3.49,2.184,0,188.5
548,-0.2,-3.5,2.188,-0.1,189
549,0,-3.51,2.192,0,189.5
550,0.2,-3.52,2.196,0.1,190.5
551,0,-3.52,2.2,0,190.5
552,0,-3.53,2.204,0,191
553,0,-3.54,2.208,0,191.5
554,0,-3.54,2.212,0,191.5
555,-0.4,-3.55,2.216,-0.2,192
556,-0.2,-3.56,2.22,-0.1,192.5
557,-0.2,-3.56,2.224,-0.1,192.5
558,-0.2,-3.57,2.228,-0.1,193
559,-0.2,-3.58,2.232,-0.1,193.5
560,-0.4,-3.59,2.236,-0.2,194
561,0,-3.59,2.24,0,194
562,0.2,-3.6,2.244,0.1,194.5
563,0,-3.61,2.248,0,195
564,0.2,-3.61,2.252,0.1,195
565,0.2,-3.62,2.256,0.1,195.5
566,0.2,-3.63,2.26,0.1,196
567,0.2,-3.63,2.264,0.1,196
568,-0.2,-3.64,2.268,-0.1,197
569,-0.2,-3.65,2.272,-0.1,197.5
570,0,-3.66,2.276,0,198
571,0,-3.66,2.28,0,198
572,0,-3.67,2.284,0,198.5
573,0,-3.68,2.288,0,199
574,0,-3.68,2.292,0,199
575,0,-3.69,2.296,0,199.5
576,-0.2,-3.7,2.3,-0.1,200
577,0,-3.71,2.304,0,200.5
578,0,-3.71,2.308,0,200.5
579,0,-3.72,2.312,0,201
580,0,-3.73,2.316,0,201.5
581,0,-3.73,2.32,0,201.5
582,0.2,-3.74,2.324,0.1,202
583,0,-3.75,2.328,0,202.5
584,0,-3.75,2.332,0,202.5
585,0,-3.76,2.336,0,203
586,-0.2,-3.77,2.34,-0.1,204
587,0.2,-3.78,2.344,0.1,204.5
588,0,-3.78,2.348,0,204.5
589,0,-3.79,2.352,0,205
590,0.2,-3.8,2.356,0.1,205.5
591,0.2,-3.8,2.36,0.1,205.5
592,0,-3.81,2.364,0,206
593,0,-3.82,2.368,0,206.5
594,0,-3.82,2.372,0,206.5
595,0,-3.83,2.376,0,207
596,0,-3.84,2.38,0,207.5
597,0,-3.85,2.384,0,208
598,-0.4,-3.85,2.388,-0.2,208
599,0,-3.86,2.392,0,208.5
600,0,-3.87,2.396,0,209
601,0,-3.87,2.4,0,209
602,0,-3.88,2.404,0,209.5
